FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
31544092_097342889,31.911366666666666,-97.57469166666667,79.0,0,1503,8,0
31535375_097325800,31.898263888888888,-97.54944444444445,79.0,0,1503,8,0
31522642_097273901,31.874005555555556,-97.46083611111112,65.0,1,1369,3,0
31513302_097251910,31.859172222222224,-97.42197222222222,65.0,1,4267,3,0
31511058_097240401,31.85293888888889,-97.4011138888889,18.0,1,5395,1,0
31510698_097232461,31.851938888888892,-97.39016944444445,77.0,0,5395,1,0
31552731_097391893,31.924252777777777,-97.65525833333334,75.0,0,4997,1,0
31551928_097383183,31.922022222222225,-97.64217500000001,71.0,0,1503,1,0
31580133_097480887,31.96703611111111,-97.80246388888888,0.0,1,3661,1,0
31583378_097494752,31.976049999999997,-97.82986666666666,0.0,1,3761,1,0
31584473_097504350,31.979091666666665,-97.84541666666667,0.0,1,3761,1,0
31585117_097511660,31.980880555555554,-97.85461111111111,0.0,1,3761,1,0
31583957_097534295,31.97765833333333,-97.89526388888889,34.0,1,4330,4,1
31572015_097463287,31.95559722222222,-97.77579722222222,56.0,1,3661,1,0
31565760_097444453,31.949333333333332,-97.74570277777778,56.0,1,3661,1,0
31564878_097435711,31.946883333333332,-97.73253055555556,56.0,1,3661,1,0
31561143_097421293,31.936508333333332,-97.70359166666667,56.0,1,4711,1,0
31553881_097411367,31.927447222222224,-97.68713055555556,0.0,1,4711,1,0
31552761_097405330,31.924336111111113,-97.68147222222223,0.0,1,4711,1,0
31571802_097462408,31.955005555555555,-97.77335555555555,0.0,1,3661,1,0
31542142_097393939,31.905949999999997,-97.66094166666667,60.0,1,5900,1,0
31524918_097383730,31.88032777777778,-97.64369444444445,62.0,1,5900,3,0
31510813_097373063,31.852258333333335,-97.625175,62.0,1,5476,1,0
31484216_097364186,31.811711111111112,-97.61162777777777,62.0,1,6290,4,0
31481659_097361729,31.804608333333334,-97.60480277777778,4.0,1,6290,1,0
31474913_097353173,31.796980555555557,-97.59214722222222,60.0,1,6290,1,0
31470521_097344162,31.784780555555557,-97.57822777777777,84.0,0,10880,1,0
31403038_097304907,31.675105555555557,-97.51363055555555,68.0,1,7980,3,0
31413686_097320735,31.693572222222222,-97.535375,68.0,1,7463,4,0
31401224_097300604,31.670066666666667,-97.50167777777777,68.0,1,7980,1,0
31394039_097284696,31.66121944444444,-97.47971111111111,68.0,1,10001,1,0
31392392_097274844,31.656644444444442,-97.46345555555556,62.0,1,8903,1,0
32070254_097445775,32.11737222222222,-97.749375,85.0,0,2248,1,0
32032039_097445891,32.05566388888889,-97.74969722222222,69.0,0,2764,3,0
31562910_097400955,31.941416666666665,-97.66931944444445,67.0,0,1940,1,0
31565681_097401611,31.94911388888889,-97.67114166666667,67.0,0,1940,1,0
31584621_097412385,31.979502777777775,-97.68995833333334,67.0,0,1378,1,0
31545803_097382877,31.916119444444444,-97.64132500000001,68.0,1,616,1,0
31525873_097370704,31.882980555555555,-97.61862222222221,68.0,0,616,1,0
31522533_097362376,31.87370277777778,-97.6066,68.0,0,460,1,0
31515552_097361063,31.865422222222225,-97.60295277777777,68.0,0,460,1,0
31484331_097345358,31.812030555555555,-97.58155,68.0,0,460,1,0
31441819_097272740,31.73838611111111,-97.45761111111112,76.0,0,1036,1,0
31454755_097274132,31.763208333333335,-97.46147777777779,76.0,0,1036,1,0
31455576_097273894,31.76548888888889,-97.46081666666667,60.0,1,1036,1,0
31394892_097281705,31.66358888888889,-97.47140277777778,60.0,1,2786,1,0
31390898_097281253,31.652494444444443,-97.47014722222222,70.0,0,2245,4,1
31401039_097281058,31.669552777777778,-97.46960555555556,18.0,0,2786,5,0
31492385_097224311,31.823291666666666,-97.37864166666667,17.0,0,2532,5,0
32031634_097304837,32.054538888888885,-97.5134361111111,67.0,0,1204,1,0
