FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
32281342_096583507,32.470394444444445,-96.97640833333334,14.0,0,5350,5,0
32281284_096583580,32.47023333333333,-96.97661111111111,14.0,0,5350,5,0
32282088_096580393,32.47246666666667,-96.96775833333334,21.0,0,24250,5,0
32281965_096580691,32.472125,-96.96858611111111,21.0,0,24250,5,0
32263892_096552030,32.44414444444444,-96.92230555555555,21.0,0,14520,5,0
32263814_096552066,32.44392777777777,-96.92240555555556,21.0,0,14520,5,0
32273814_096563303,32.460594444444446,-96.94250833333334,4.0,0,50161,5,0
32193618_096443342,32.32671666666667,-96.74261666666666,41.0,0,8450,5,0
32193497_096443334,32.32638055555556,-96.74259444444445,41.0,0,8450,5,0
32192700_096411191,32.32416666666667,-96.68664166666667,58.0,0,10886,1,0
32193710_096435002,32.326972222222224,-96.73056111111111,38.0,0,21957,1,0
32193754_096434033,32.32709444444445,-96.72786944444445,38.0,0,21957,1,0
32193548_096424234,32.32652222222222,-96.71176111111112,38.0,0,21957,1,0
32192613_096411652,32.323925,-96.68792222222223,38.0,0,11071,1,0
32190260_096392496,32.31738888888889,-96.65693333333334,29.0,0,453,5,0
32184657_096390059,32.31293611111111,-96.6501638888889,29.0,0,6910,1,0
32180161_096382098,32.30044722222222,-96.63916111111112,29.0,0,6484,5,0
32180131_096381944,32.30036388888889,-96.63873333333333,13.0,0,5927,5,0
32190949_096393063,32.31930277777778,-96.65850833333334,13.0,0,6910,5,0
32191000_096393500,32.31944444444445,-96.65972222222223,11.0,0,300,5,0
32184680_096385917,32.312999999999995,-96.64976944444444,13.0,0,6910,5,0
32182571_096384068,32.307141666666666,-96.64463333333335,10.0,0,100,5,0
32182712_096384009,32.30753333333333,-96.64446944444445,10.0,0,1000,5,0
32175244_096381032,32.2979,-96.6362,8.0,1,12410,1,0
32174337_096380172,32.29538055555555,-96.63381111111111,8.0,1,12410,1,0
32172094_096363418,32.28915,-96.60949444444444,4.0,0,14046,5,0
32171960_096363423,32.288777777777774,-96.60950833333332,5.0,0,4800,5,0
32171974_096360600,32.28881666666666,-96.60166666666666,4.0,0,4800,5,0
32171992_096360504,32.288866666666664,-96.6014,5.0,0,5800,5,0
32172494_096350417,32.29026111111111,-96.58449166666666,4.0,0,5800,5,0
32172406_096350403,32.290016666666666,-96.58445277777777,5.0,0,5100,5,0
32172116_096363213,32.28921111111111,-96.608925,7.0,0,500,5,0
32172183_096360498,32.28939722222222,-96.60138333333333,5.0,0,7758,5,0
32172567_096350462,32.29046388888889,-96.58461666666666,6.0,0,700,5,0
32171891_096363407,32.28858611111111,-96.60946388888888,5.0,0,200,5,0
32171860_096360654,32.2885,-96.60181666666666,5.0,0,300,5,0
32172372_096350362,32.28992222222222,-96.58433888888888,5.0,0,600,5,0
32172749_096373547,32.29096944444444,-96.62651944444444,6.0,0,12300,1,0
32172805_096373491,32.291125,-96.62636388888889,5.0,0,12300,1,0
32173510_096344300,32.29308333333333,-96.5786111111111,8.0,1,12882,1,0
32173560_096344180,32.29322222222222,-96.57827777777777,8.0,1,12882,1,0
32173610_096344090,32.29336111111111,-96.57802777777778,8.0,1,12882,1,0
32172054_096361401,32.28903888888889,-96.60389166666666,4.0,0,14046,5,0
32171963_096361342,32.28878611111111,-96.60372777777778,5.0,0,12300,5,0
32172302_096371834,32.28972777777778,-96.6217611111111,4.0,0,14046,5,0
32172129_096352388,32.28924722222222,-96.58996666666667,4.0,0,14046,5,0
32172047_096352342,32.28901944444444,-96.58983888888888,5.0,0,12300,5,0
32172232_096371855,32.28953333333333,-96.62181944444444,5.0,0,12300,5,0
32242160_096520344,32.406,-96.86762222222221,68.0,1,3840,1,0
32245528_096531208,32.41535555555556,-96.8866888888889,69.0,0,4030,1,1
32254588_096535935,32.42941111111111,-96.89981944444445,51.0,0,4030,1,0
32254359_096535897,32.428774999999995,-96.8997138888889,51.0,0,4030,5,0
32191210_096385171,32.32002777777778,-96.64769722222223,44.0,1,9200,1,0
32191144_096392979,32.31984444444445,-96.658275,38.0,0,4600,1,0
32191565_096392842,32.32101388888889,-96.65789444444445,38.0,0,4600,1,0
32191118_096393541,32.31977222222223,-96.65983611111112,29.0,0,2300,5,0
32174908_096342176,32.29696666666666,-96.5727111111111,29.0,0,1166,5,0
32174666_096341736,32.29629444444444,-96.57148888888888,29.0,0,20000,5,0
32174770_096341859,32.29658333333333,-96.57183055555555,29.0,0,20000,5,0
32174736_096341794,32.29648888888889,-96.57164999999999,29.0,0,20000,5,0
32175237_096341077,32.29788055555555,-96.56965833333334,29.0,0,20000,5,0
32175189_096340973,32.29774722222222,-96.56936944444445,29.0,0,20000,5,0
32274555_096593714,32.462652777777784,-96.99365,8.0,1,7800,5,0
32275511_097001370,32.46530833333333,-97.00380555555556,14.0,0,500,5,0
32283360_097002961,32.476,-97.008225,14.0,0,2100,5,0
32274578_096591949,32.46271666666667,-96.98874722222223,14.0,0,2700,5,0
32240671_096291319,32.40186388888889,-96.48699722222223,39.0,1,3711,1,0
32243017_096284382,32.40838055555555,-96.47883888888889,39.0,1,3711,1,1
32241550_096290266,32.40430555555555,-96.48407222222222,36.0,0,3711,1,0
32221970_096330567,32.37213888888889,-96.551575,36.0,0,4567,1,0
32222233_096330016,32.37286944444445,-96.55004444444444,36.0,0,4567,1,0
32280216_097013376,32.46726666666667,-97.02604444444444,93.0,0,3430,1,0
32274888_097020422,32.46357777777778,-97.03450555555555,55.0,0,15400,1,0
32275977_097014136,32.46660277777778,-97.02815555555556,55.0,0,12783,5,0
32280480_097013522,32.468,-97.02645,55.0,0,3040,1,0
32280329_097013361,32.46758055555556,-97.02600277777778,55.0,0,12783,1,0
32281771_097010322,32.471586111111115,-97.0175611111111,14.0,1,3464,1,1
32281621_097010199,32.47116944444445,-97.01721944444445,55.0,0,15450,1,0
32283831_097003639,32.47730833333333,-97.01010833333333,18.0,1,19380,1,0
32284459_097003500,32.47905277777778,-97.00972222222222,12.0,1,19381,1,1
32274944_097020463,32.46373333333334,-97.03461944444444,44.0,0,15400,1,0
32280025_097014187,32.46673611111111,-97.02829722222222,44.0,0,12663,5,0
