Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
1993,0917400,WALNUT RIDGE ESTATES,62,Ground Water,SS,I,ANGELINA,NECHES,ANGELINA,NECHES,OTHER AQUIFER,,N/A,2,N,N,0.00,"95,000","98,600","100,100","105,200","110,000","118,200","120,000","121,800","117,600","113,100","110,600","108,100","1,318,300"
1993,0917620,WALSTON SPRINGS WSC,"2,568",Ground Water,SS,I,ANDERSON,NECHES,ANDERSON,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,3,N,N,0.00,"6,730,000","5,755,000","6,910,000","6,110,000","6,588,000","7,267,000","11,091,000","12,332,000","8,534,000","7,857,000","6,438,000","6,515,000","92,127,000"
1993,0918700,WARREN WSC,435,Ground Water,SS,I,TYLER,NECHES,TYLER,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,"2,587,000","2,358,000","2,407,000","2,368,000","2,502,000","2,811,000","2,824,000","3,331,000","3,402,000","3,381,000","3,397,000","3,388,000","34,756,000"
1993,0918750,WARR WATER SYSTEM,100,Ground Water,SS,I,SHELBY,SABINE,SHELBY,SABINE,CARRIZO-WILCOX AQUIFER,,N/A,2,N,N,0.00,"177,200","152,100","156,700","190,400","192,800","233,600","225,400","415,600","335,900","205,400","184,000","189,800","2,658,900"
1993,0925600,CITY OF WELLS,761,Ground Water,SS,I,CHEROKEE,NECHES,CHEROKEE,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,2,N,N,0.00,"2,691,900","2,932,500","3,540,800","3,049,800","3,523,800","3,946,400","3,809,800","3,889,200","3,736,800","3,219,100","4,129,700","3,435,400","41,905,200"
1993,0928750,WEST CIRCLE MHP,60,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,"360,000","360,000","369,000","414,000","432,000","432,000","579,200","579,200","579,200","579,200","486,000","504,000","5,673,800"
1993,0931832,WEST HARDIN WSC,"5,000",Ground Water,SS,I,HARDIN,NECHES,HARDIN,NECHES,GULF COAST AQUIFER,,N/A,3,N,N,0.00,"7,600,800","5,032,100","6,720,500","7,745,200","7,244,200","7,335,900","8,258,300","9,022,900","7,934,400","7,741,100","7,976,800","7,889,200","90,501,400"
1993,0931905,MUNICIPAL WATER DISTRICT,"6,000",Surface Water,Pur,I,JEFFERSON,NECHES-TRINITY,JEFFERSON,NECHES,,SAM RAYBURN LAKE/RESERVOIR,LOWER NECHES VALLEY AUTHORITY,0,N,N,1.00,"16,612,000","14,612,200","17,329,400","13,254,300","20,872,100","17,127,600","21,574,000","21,178,000","21,663,400","23,045,600","17,489,400","18,526,700","223,284,700"
1993,0939463,WATER NECESSITIES INC-WHISPERING PINES WATER SYSTEM,0,Ground Water,SS,I,HARDIN,NECHES,HARDIN,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,379,700","1,379,700"
1993,0944470,WILDWOOD RESORT CITY,"1,200",Ground Water,SS,I,HARDIN,NECHES,HARDIN,NECHES,GULF COAST AQUIFER,,N/A,3,N,N,0.00,"2,636,200","2,332,300","2,701,300","2,884,700","3,181,300","3,720,200","4,910,200","5,182,400","4,203,300","3,203,900","3,125,300","3,543,300","41,624,400"
1993,0956800,CITY OF WOODVILLE,"5,000",Ground Water,SS,I,TYLER,NECHES,TYLER,NECHES,GULF COAST AQUIFER,,N/A,4,N,N,0.00,"24,700,800","21,300,300","23,140,300","25,451,600","23,882,100","24,272,500","26,265,400","38,712,000","28,540,200","30,347,800","24,248,600","23,216,700","314,078,300"
1993,0957500,WRIGHT CITY WSC,"2,240",Ground Water,SS,I,SMITH,NECHES,SMITH,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,3,N,N,0.00,"4,500,000","4,905,000","5,367,000","5,030,000","4,749,000","4,737,000","9,433,000","10,186,000","8,269,000","6,121,000","5,573,000","5,484,000","74,354,000"
1993,0959115,WATER NECESSITIES INC-YEAGER WATER SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"2,277,600","2,277,600"
1993,0005000,A & P WSC,504,Ground Water,SS,I,PANOLA,SABINE,PANOLA,SABINE,CARRIZO-WILCOX AQUIFER,,N/A,0,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"12,512,200","12,512,200"
1993,0010950,ALABAMA COUSHATTA RESERVATION,491,Ground Water,SS,I,POLK,NECHES,POLK,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,"1,212,800","1,010,300","936,500","914,400","1,048,000","1,271,400","1,758,800","1,936,900","1,831,400","1,348,400","1,382,900","1,205,200","15,857,000"
1993,0015400,CITY OF ALTO,"1,370",Ground Water,SS,I,CHEROKEE,NECHES,CHEROKEE,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,3,N,N,0.00,"4,768,000","4,142,000","4,844,000","5,094,000","5,433,000","5,726,000","7,779,000","8,621,000","6,600,000","5,431,000","4,651,000","4,881,000","67,970,000"
